Armor	Very Low	Low	Normal	Critical	Fatal
#1 BALLISTIC SHIELD	@kaybeden's BALLISTIC SHIELD was very effective. @kazanan only managed to leave a faint scratch on @kaybeden's BALLISTIC SHIELD with his attack. 	@kaybeden's BALLISTIC SHIELD was effective. @kazanan's attack caused cracks along the edge of @kaybeden's BALLISTIC SHIELD. 	@kaybeden’s BALLISTIC SHIELD was barely effective. @kazanan's attack was powerful enough to make a hole on @kaybeden's BALLISTIC SHIELD.	@kaybeden’s BALLISTIC SHIELD was ineffective. @kazanan's attack surpassed the BALLISTIC SHIELD's damage absorption power. @kaybeden felt the whole impact on his body, from head to toe.	@kaybeden’s BALLISTIC SHIELD was impotent. @kazanan's attack was so powerful that @kaybeden's BALLISTIC SHIELD felt like a shield made of paper. @kaybeden is barely standing up after suffering from this fatal attack.
#2 BALLISTIC SHIELD	@kaybeden's BALLISTIC SHIELD was very effective. @kazanan's attack felt like a small rock impacting the surface of @kaybeden's BALLISTIC SHIELD.	@kaybeden's BALLISTIC SHIELD was effective. @kazanan hit the center of @kaybeden's BALLISTIC SHIELD and managed to bend the shield a little bit.  	@kaybeden’s BALLISTIC SHIELD was barely effective. @kazanan's attack managed to shatter the glass of @kaybeden's BALLISTIC SHIELD's viewport entirely.	@kaybeden’s BALLISTIC SHIELD was ineffective. @kazanan's attack managed to chop off half of @kaybeden's BALLISTIC SHIELD and caused tremendous damage.	@kaybeden’s BALLISTIC SHIELD was impotent. @kazanan's attack force made @kaybeden lose his grip and send BALLISTIC SHIELD to 10 meters high above the ground! @kaybeden is severely wounded, barely managing to continue. 
					
					
#1 TITANIUM PLATING	@kaybeden's TITANIUM PLATING was very effective. @kazanan couldn't manage to cause any visible harm to @kaybeden's TITANIUM PLATING with his attack.	@kaybeden's TITANIUM PLATING was effective. @kazanan managed to scrape the silver-like color of @kaybeden's TITANIUM PLATING with his attack. 	@kaybeden's TITANIUM PLATING was barely effective. @kazanan's attack was powerful, @kaybeden's Cobot barely managed to withstand most of the damage thanks to its TITANIUM PLATING.	@kaybeden's TITANIUM PLATING was ineffective. @kazanan delivered a powerful attack and caused @kaybeden's Cobot to stagger for three full seconds. TITANIUM PLATING couldn't subdue the damage at all.	@kaybeden's TITANIUM PLATING was impotent. @kazanan nearly destroyed @kaybeden's Cobot with one single blow. @kaybeden is fatally wounded. The TITANIUM PLATING is entirely gone, making @kaybeden's Cobot completely vulnerable.
#2 TITANIUM PLATING	@kaybeden's TITANIUM PLATING was very effective. @kazanan's attack felt like tickling on @kaybeden's TITANIUM PLATING.	@kaybeden's TITANIUM PLATING was effective. @kazanan's attack was only able to cause a 4-centimeter-wide dent in @kaybeden's TITANIUM PLATING. 	@kaybeden's TITANIUM PLATING was barely effective. @kazanan's attack shook @kaybeden's Cobot and ruptured a large chunk from TITANIUM PLATING.	@kaybeden's TITANIUM PLATING was ineffective. @kazanan's powerful attack caused @kaybeden to lose control over his Cobot momentarily. The TITANIUM PLATING is nearly scraped off entirely due to the severity of the attack.	@kaybeden's TITANIUM PLATING was impotent. @kazanan's powerful attack caused @kaybeden's Cobot to malfunction. There is nothing left from @kaybeden's TITANIUM PLATING besides countless defensive system malfunctions. @kaybeden is fatally wounded. 
					
					
#1 POSITRON ENERGY BARRIER	@kaybeden's POSITRON ENERGY BARRIER was very effective. @kazanan's attack stuck at the @kaybeden's POSITRON ENERGY BARRIER.	@kaybeden's POSITRON ENERGY BARRIER was effective. @kazanan's attack disrupted @kaybeden's POSITRON ENERGY BARRIER for a second and managed to reach his opponent. However, it couldn't inflict any considerable damage. 	@kaybeden's POSITRON ENERGY BARRIER was barely effective. @kazanan's attack managed to split @kaybeden's POSITRON ENERGY BARRIER just enough to inflict an average amount of damage to his opponent till it closed again.	@kaybeden's POSITRON ENERGY BARRIER was ineffective. @kazanan's attack malfunctioned the barrier long enough to inflict a good amount of damage. @kaybeden's POSITRON ENERGY BARRIER is back up, but too late; he is now wounded.	@kaybeden's POSITRON ENERGY BARRIER was impotent. @kazanan's attack was so powerful that @kaybeden's POSITRON ENERGY BARRIER was destroyed in seconds, making him vulnerable to any follow-up attacks. @kaybeden received a lot of damage, and most of them are fatal. He is severely wounded.
#2 POSITRON ENERGY BARRIER	@kaybeden's POSITRON ENERGY BARRIER was very effective. @kazanan took his time to attack while trying to find a weak point on @kaybeden's POSITRON ENERGY BARRIER, but couldn't find any.	@kaybeden's POSITRON ENERGY BARRIER was effective. @kazanan watched his attack's impact consumed by energy pulses from @kaybeden's POSITRON ENERGY BARRIER. 	@kaybeden's POSITRON ENERGY BARRIER was barely effective. @kazanan's attack was on its way when @kaybeden's POSITRON ENERGY BARRIER malfunctioned for a split second. However, @kaybeden established the shield again just in time to receive an average amount of damage.	@kaybeden's POSITRON ENERGY BARRIER was ineffective. @kazanan managed to hack @kaybeden's POSITRON ENERGY BARRIER and made his move up close. @kaybeden felt the whole impact of the attack, and now, he is bleeding inside in his Cobot.	@kaybeden's POSITRON ENERGY BARRIER was impotent. @kazanan's attack managed to cause hundreds of cracks on @kaybeden's POSITRON ENERGY BARRIER, eventually making it unfunctional. When the shield was down, @kazanan delivered his full-force attack on @kaybeden's Cobot. @kaybeden is fatally wounded now.
					
					
#1 QUANTUM ARMOR	@kaybeden's QUANTUM ARMOR was very effective. @kazanan's attack was strong, but @kaybeden's QUANTUM ARMOR tremendously reduced the power of the impact to nothing.	@kaybeden's QUANTUM ARMOR was effective. @kazanan's attack scratched @kaybeden's QUANTUM ARMOR in significant portions, but aside from the visual damage, @kaybeden took only a tiny amount of damage in the end.	@kaybeden's QUANTUM ARMOR was barely effective. @kazanan's attack caused a gigantic gouge that reached @kaybeden's Cobot's inner framework. The attack damaged both Cobot and @kaybeden; however, the impact was slowed down by the QUANTUM ARMOR.	@kaybeden's QUANTUM ARMOR was ineffective. @kazanan's attack eradicated the right side of @kaybeden's QUANTUM ARMOR completely. Without the QUANTUM ARMOR, @kaybeden's has to evade being attacked from the right side.	@kaybeden's QUANTUM ARMOR was impotent. @kazanan's attack completely annihilated @kaybeden's QUANTUM ARMOR with a single blow. @kaybeden has lost his QUANTUM ARMOR and is fatally wounded because of the attack's severity.
#2 QUANTUM ARMOR	@kaybeden's QUANTUM ARMOR was very effective. @kazanan's attack was so weak that @kaybeden couldn't even feel it, thanks to his QUANTUM ARMOR.	@kaybeden's QUANTUM ARMOR was effective. @kazanan's attack made @kaybeden's QUANTUM ARMOR's headpiece crack; however, the attack was ineffective since the headpiece absorbed a large amount of the damage.	@kaybeden's QUANTUM ARMOR was barely effective. @kazanan's attack was powerful enough to cause delamination on @kaybeden's QUANTUM ARMOR. A more powerful attack could probably cause QUANTUM ARMOR to break into pieces.	@kaybeden's QUANTUM ARMOR was ineffective. @kazanan's attack generated a significant amount of kinetic energy, and upon hitting his target, @kaybeden's QUANTUM ARMOR caught fire because of the impact. He and his Cobot suffered from the flames severely. 	@kaybeden's QUANTUM ARMOR was impotent. @kazanan's attack made @kaybeden and his Cobot kiss the ground instantly. The powerful attack caused @kaybeden to lose control over his Cobot and made QUANTUM ARMOR completely useless. He is fatally wounded because of the impact.
					
					
#1 GRAVITATIONAL ABSORBER	@kaybeden's GRAVITATIONAL ABSORBER was very effective. @kazanan's attack was feeble because @kaybeden's GRAVITATIONAL ABSORBER minimized its impact.	@kaybeden's GRAVITATIONAL ABSORBER was effective. @kazanan attacked fast and violently; however, @kaybeden's GRAVITATIONAL ABSORBER slowed it down effectively. Only a glimpse from @kazanan's ferocious attack manages to inflict a small amount of damage.	@kaybeden's GRAVITATIONAL ABSORBER was barely effective. @kazanan managed to land an attack on @kaybeden by flying over the gravity field created by @kaybeden's GRAVITATIONAL ABSORBER. Although the attack landed, the impact wasn't too powerful.	@kaybeden's GRAVITATIONAL ABSORBER was ineffective. @kazanan managed to land a powerful attack before @kaybeden used his GRAVITATIONAL ABSORBER. As a result, the attack caused serious damage both to @kaybeden and his Cobot.	@kaybeden's GRAVITATIONAL ABSORBER was impotent. @kazanan landed an ultrapowerful attack on @kaybeden due to a glitch on @kaybeden's GRAVITATIONAL ABSORBER. @kaybeden felt the whole impact and was fatally wounded.
#2 GRAVITATIONAL ABSORBER	@kaybeden's GRAVITATIONAL ABSORBER was very effective. @kazanan couldn't land a proper attack because @kaybeden's GRAVITATIONAL ABSORBER made him lose his stance.	@kaybeden's GRAVITATIONAL ABSORBER was effective. @kazanan aimed his attack to hit his target accurately, but due to strong gravity waves caused by @kaybeden's GRAVITATIONAL ABSORBER, he only grazed his target with his attack.	@kaybeden's GRAVITATIONAL ABSORBER was barely effective. @kazanan's swift attack was fast but moderate in terms of damage. The attack made @kaybeden miscalculate the attack's direction. As a result, he created a gravity field by using his GRAVITATIONAL ABSORBER in the wrong place to deflect the attack.	@kaybeden's GRAVITATIONAL ABSORBER was ineffective. @kazanan used his attack's momentum to create a vacuum within the gravity field that @kaybeden's GRAVITATIONAL ABSORBER created. Because of the vacuum, the attack landed, and @kaybeden received a severe wound.	@kaybeden's GRAVITATIONAL ABSORBER was impotent. @kazanan tricked @kaybeden by moving towards the opposite direction where his attack would come and caused @kaybeden to use his GRAVITATIONAL ABSORBER too soon. This trickery ended badly for @kaybeden because he suffered from an overpowered attack from the rear. @kaybeden is fatally wounded.
