Weapon	Very Low	Low	Normal	Critical	Fatal
PLATINUM PAN	@kazanan's PLATINUM PAN was impotent. @kaybeden heard a loud noise coming from the rear of his Cobot but didn't feel a thing. @kazanan's attack only left a pan-shaped mark on @kaybeden's Cobot. 	@kazanan's PLATINUM PAN was ineffective. @kaybeden was attacking and raised his Cobot's arm to do so. But @kazanan managed to counterattack and hit @kaybeden's Cobot's arm with his PLATINUM PAN. Although @kaybeden didn't suffer much damage, his Cobot's arm staggered briefly.	@kazanan's PLATINUM PAN was barely effective. @kaybeden stood still on a defensive stance when @kazanan rushed in to deliver a decisive blow with his PLANITUM PAN. He managed to deliver a powerful attack, but since his weapon of choice is a PLATINUM PAN, @kaybeden only received an average amount of damage.	@kazanan's PLATINUM PAN was effective. @kaybeden had managed to evade @kazanan's Cobot's right fist attack; however, he didn't see the second subsidiary attack coming from @kazanan's PLATINUM PAN. @kaybeden's Cobot took a direct hit, and lucky for @kazanan, it was an immediate hit on @kaybeden's cockpit.	@kazanan's PLATINUM PAN was very effective. @kaybeden's Cobot took an unlucky blow directly at the core generator. Even though @kazanan's attack was not that powerful since it landed on the core generator, @kaybeden's Cobot is fatally damaged.
					
					
BALLISTIC MISSILE LAUNCHER	@kazanan's BALLISTIC MISSILE LAUNCHER was impotent. @kaybeden's swift moves made @kazanan's BALLISTIC MISSILE LAUNCHER miss its target. @kaybeden only received a minimal amount of damage from the shrapnel pieces.	@kazanan's BALLISTIC MISSILE LAUNCHER was ineffective. @kaybeden was caught off guard as the missile soared through the air and landed close to his Cobot. The explosion caused moderate damage to its outer armor, leaving scorch marks and dents. However, @kaybeden quickly recovered and prepared for the next attack.	@kazanan's BALLISTIC MISSILE LAUNCHER was barely effective. @kaybeden's Cobot was standing firm with its defense at first, but then, @kazanan's BALLISTIC MISSILE LAUNCHER managed to hit @kaybeden's Cobot on the back, thanks to its guiding installations. Although it was a direct hit, @kaybeden's Cobot only received an average amount of damage because his Cobot successfully turned back at the right time to take a position.	@kazanan's BALLISTIC MISSILE LAUNCHER was effective. @kaybeden attempted to deploy countermeasures, but the missile's advanced guidance system outsmarted them. The explosion engulfed @kaybeden's Cobot, causing critical damage to its vital components. The Cobot's movements became sluggish, and it was clear that it was in trouble.	@kazanan's BALLISTIC MISSILE LAUNCHER was very effective. The missiles struck @kaybeden's Cobot with pinpoint accuracy, hitting a critical vulnerability. The resulting explosion was catastrophic, tearing apart the Cobot and causing a chain reaction that led to a near-complete shutdown. @kaybeden's Cobot is nearly annihilated.
					
					
N.U.K.A. LASER CANNON	@kazanan's N.U.K.A. LASER CANNON was impotent. @kaybeden swiftly activated his Cobot's default energy shield upon seeing the laser cannon charging up. The protection managed to deflect most of the laser's energy, leaving only a minor scorch mark on the Cobot's surface.	@kazanan's N.U.K.A. LASER CANNON was ineffective. @kaybeden attempted to evade the laser beam, but it grazed the edge of his Cobot, leaving a small burn mark on the armor of his Cobot. Although the damage was noticeable, it didn't cause a real threat to @kaybeden's Cobot.	@kazanan's N.U.K.A. LASER CANNON was barely effective. @kaybeden couldn't evade the precise laser shot in time. The searing beam penetrated the Cobot's armor, causing moderate damage to its internal systems. @kaybeden's Cobot faltered briefly before resuming its defensive stance.	@kazanan's N.U.K.A. LASER CANNON was effective. The focused laser blast struck @kaybeden's Cobot with immense force. The powerful energy tore through vital components, rendering them inoperable. @kaybeden's Cobot was left severely weakened and struggling to remain functional.	@kazanan's N.U.K.A. LASER CANNON was very effective. The charged laser shot from the cannon hit @kaybeden's Cobot dead center, bypassing all defenses. The intense energy obliterated the target's outer surface, leaving behind only a severely damaged internal framework. @kaybeden's Cobot is now close to total destruction.
					
					
ION HEAVY ARTILLERY	@kazanan's ION HEAVY ARTILLERY was impotent. The massive ion cannon fired, but due to an energy fluctuation, the shot veered off course, missing @kaybeden's Cobot entirely. The powerful blast hit a nearby structure, creating a minor explosion that had minimal impact on @kaybeden's Cobot due to flying debris.	@kazanan's ION HEAVY ARTILLERY was ineffective. The ion cannon's shot was partially obstructed by debris, reducing its power as it reached @kaybeden's Cobot. The weakened energy blast caused some superficial damage to the Cobot's armor, leaving scorch marks but not hindering its functionality.	@kazanan's ION HEAVY ARTILLERY was barely effective. The ion cannon fired, hitting @kaybeden's Cobot with a focused blast. The impact caused significant damage to the armor and disrupted some systems temporarily. Despite the attack's power, @kaybeden's Cobot stood firm, ready for the next move.	@kazanan's ION HEAVY ARTILLERY was effective. The ion cannon unleashed a highly charged shot that struck @kaybeden's Cobot with precision. The powerful ion burst penetrated the armor, inflicting critical damage on vital components. @kaybeden's Cobot was visibly compromised and struggled to maintain stability.	@kazanan's ION HEAVY ARTILLERY was very effective. The fully charged ion cannon shot hit @kaybeden's Cobot head-on. The massive discharge overloaded the systems, causing catastrophic damage. @kaybeden's Cobot lost all power and collapsed. @kaybeden is trying hopelessly to power up his fatally-damaged Cobot.
